,Mg / yr,Mg / yr,Silver regions,,,,,Regional Emiss,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Air,Land/Water,North America,South America,Europe,Former USSR,Asia,NA Air,NA Land/Water,NA Gold,SA Air,SA LW,Mining,No Mining,MinamataYear,Minamata,MinamataLW,LandfillYear,Lffrac,LandfillNA,LFYear,Landfill,,Copper Smelting,Zinc Smelting,Lead Smelting,Iron Manufacturing,Steel Manufacturing,Mercury Production,"Gold Production, large-scale","Gold Production, artisanal",Silver Production,,,Cement Manufacturing,Caustic Soda Manufacturing,Coal Combustion,Oil Combustion,Municipal Waste Incineration,Other Waste Burning,Electrical & Measuring Equip't,Chemicals Manufacturing,Dental,,,YearSplit,LWpre1850,LW1850-1900,LW1900-1950,LW1950-1990,LW1990-2000,LW2000-2010,AIRpre1850,AIR1850-1900,AIR1900-1950,AIR1950-1990,AIR1990-2000,AIR2000-2010,,YearVolc,Tambora,Krakatoa,Pinatubo,,GoldYear,"Gold Production, large-scale","Gold Production, artisanal",WorldGoldAir,,"Gold Production, large-scale","Gold Production, artisanal",WorldGoldLW,,Coal Year,Coal Air,Coal LW,,
1780,269.8147504,1550.835085,463.2429541,299.388503,24.83062614,5.708223309,1.08255825,13.76340447,464.1397174,0.896347963,56.7234112,465.9903625,1550.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,1550.835085,0,0,0,0,0,269.8147504,0,0,0,0,0,,,,,,,1790,12.60558467,0,12.60558467,,18.908377,0,18.908377,,1790,0.166400355,1.079942109,1.246342464,
1790,304.4942371,1907.585517,711.1145866,316.1878579,23.96353494,6.168979511,1.08255825,20.86117504,712.0840398,0.968507887,27.23225449,355.2935735,1907.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,1907.585517,0,0,0,0,0,304.4942371,0,0,0,0,0,,,,,,,1800,13.55611124,0,13.55611124,,20.33416687,0,20.33416687,,1800,0.239593649,1.554968263,1.794561912,
1800,302.6426851,1912.329861,711.1145866,332.9872128,23.09644375,6.629735713,1.08255825,20.92698066,712.1578853,1.04066781,17.27423222,314.465641,1912.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1912.329861,0,0,0,0,0,302.6426851,0,0,0,0,0,,,,,,,1810,9.7249061,0,9.7249061,,14.58735915,0,14.58735915,,1810,0.312649716,2.029103808,2.341753524,
1810,265.1324,1746.769785,700.1773562,314.4779236,29.10118911,9.791222676,1.311918688,21.41480036,703.0382772,1.72922997,10.48191864,292.6983359,1746.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810,1746.769785,0,0,0,0,0,265.1324,0,0,0,0,0,,,,,,,1820,6.43722482,0,6.43722482,,10.16960019,0,10.16960019,,1820,0.368731724,2.393077324,2.761809048,
1820,240.0077474,1360.310964,394.4668471,300.4684616,36.66708247,11.55234209,1.541279125,12.89898394,398.1653586,1.435808595,11.95190471,276.0777986,1360.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,1360.310964,0,0,0,0,0,240.0077474,0,0,0,0,0,,,,,,,1830,9.11806194,0,9.11806194,,10.90472091,0,10.90472091,,1830,0.634427942,4.117451854,4.751879796,
1830,235.2361369,1246.036698,334.8115859,286.7964866,46.2,13.3134615,1.770639563,11.50114299,339.3569297,1.14238722,11.18387065,301.4525365,1246.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,1246.036698,0,0,0,0,0,235.2361369,0,0,0,0,0,,,,,,,1840,17.40206703,0,17.40206703,,17.38259046,0,17.38259046,,1840,0.863603876,5.604808912,6.468412788,
1840,281.5174699,1382.194631,418.4950211,273.1245116,72.735,13.48173075,2,14.64128721,424.0027379,0.9389484,11.83761572,302.2462957,1382.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,1382.194631,0,0,0,0,0,281.5174699,0,0,0,0,0,,,,,,,1850,57.096,0,57.096,,85.644,0,85.644,,1850,1.353481395,8.784125213,,0.866489059
1850,388.092769,1362.267786,36.24192,0,0,0,0,87.79622728,304.1061679,30.2016,12.24850727,311.2773304,1179.490647,6.030965938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1362.267786,0,0,0,0,0,388.092769,0,0,0,0,0,,,,,,,1860,90.6256,0.010909091,90.63650909,,135.9384,0.016363636,135.9547636,,1860,2.361495451,14.38572005,,
1860,514.4607866,1651.821685,54.4128,0,0,0,0,121.2351604,456.6431487,45.344,30.86445445,659.1658721,1444.260579,13.87868857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.1,0,1362.267786,0,0,0,0,0,388.092769,0,0,0,0,,,,,,,1870,94.9,0.021818182,94.92181818,,142.35,0.032727273,142.3827273,,1870,3.902334959,22.4346239,,
1870,985.5779449,3740.686364,674.9184,0,0,0,0,495.4666941,2336.423177,562.432,31.65672608,709.3753956,3093.149465,29.29902908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,0,1651.821685,0,0,0,0,0,514.4607866,0,0,0,0,,,,,,,1880,82.784,0.032727273,82.81672727,,124.176,0.049090909,124.2250909,,1880,6.072043606,33.88181239,,
