location,level,month,species,Hg [Mg],time
Pinatubo,30,1,Hg0,60.26374053955078,124
Pinatubo,30,1,Hg0,59.792781829833984,126
Pinatubo,30,1,Hg0,59.3209114074707,128
Pinatubo,30,1,Hg0,58.847415924072266,130
Pinatubo,30,1,Hg0,58.368770599365234,132
Pinatubo,30,1,Hg0,57.90810012817383,134
Pinatubo,30,1,Hg0,57.460941314697266,136
Pinatubo,30,1,Hg0,57.0193977355957,138
Pinatubo,30,1,Hg0,56.58169937133789,140
Pinatubo,30,1,Hg0,56.12260055541992,142
Pinatubo,30,1,Hg0,55.67691421508789,144
Pinatubo,30,1,Hg0,55.23313903808594,146
Pinatubo,30,1,Hg0,54.790191650390625,148
Pinatubo,30,1,Hg0,54.36137771606445,150
Pinatubo,30,1,Hg0,53.93109893798828,152
Pinatubo,30,1,Hg0,53.50284957885742,154
Pinatubo,30,1,Hg0,53.06974792480469,156
Pinatubo,30,1,Hg0,52.63801574707031,158
Pinatubo,30,1,Hg0,52.20093536376953,160
Pinatubo,30,1,Hg0,51.76847839355469,162
Pinatubo,30,1,Hg0,51.335262298583984,164
Pinatubo,30,1,Hg0,50.895450592041016,166
Pinatubo,30,1,Hg0,50.47524642944336,168
Pinatubo,30,1,Hg0,50.046424865722656,170
Pinatubo,30,1,Hg0,49.631160736083984,172
Pinatubo,30,1,Hg0,49.22111892700195,174
Pinatubo,30,1,Hg0,48.81688690185547,176
Pinatubo,30,1,Hg0,48.41343307495117,178
Pinatubo,35,1,Hg0,100.12548828125,2
Pinatubo,35,1,Hg0,100.12101745605469,4
Pinatubo,35,1,Hg0,100.1167221069336,6
Pinatubo,35,1,Hg0,100.10885620117188,8
Pinatubo,35,1,Hg0,100.09756469726562,10
Pinatubo,35,1,Hg0,100.0810317993164,12
Pinatubo,35,1,Hg0,100.0589599609375,14
Pinatubo,35,1,Hg0,100.021728515625,16
Pinatubo,35,1,Hg0,99.97122192382812,18
Pinatubo,35,1,Hg0,99.91319274902344,20
Pinatubo,35,1,Hg0,99.82868194580078,22
Pinatubo,35,1,Hg0,99.72209167480469,24
Pinatubo,35,1,Hg0,99.60900115966797,26
Pinatubo,35,1,Hg0,99.46005249023438,28
Pinatubo,35,1,Hg0,99.27264404296875,30
Pinatubo,35,1,Hg0,99.04051208496094,32
Pinatubo,35,1,Hg0,98.78931427001953,34
Pinatubo,35,1,Hg0,98.5196533203125,36
Pinatubo,35,1,Hg0,98.2304458618164,38
Pinatubo,35,1,Hg0,97.94208526611328,40
Pinatubo,35,1,Hg0,97.6609878540039,42
Pinatubo,35,1,Hg0,97.36874389648438,44
Pinatubo,35,1,Hg0,97.0555419921875,46
Pinatubo,35,1,Hg0,96.73502349853516,48
Pinatubo,35,1,Hg0,96.4117431640625,50
Pinatubo,35,1,Hg0,96.07530975341797,52
Pinatubo,35,1,Hg0,95.71407318115234,54
Pinatubo,35,1,Hg0,95.3574447631836,56
Pinatubo,35,1,Hg0,95.0157470703125,58
Pinatubo,35,1,Hg0,94.69644927978516,60
Pinatubo,35,1,Hg0,94.36812591552734,62
Pinatubo,35,1,Hg0,94.0389175415039,64
Pinatubo,35,1,Hg0,93.7212905883789,66
Pinatubo,35,1,Hg0,93.39149475097656,68
Pinatubo,35,1,Hg0,93.04943084716797,70
Pinatubo,35,1,Hg0,92.69847869873047,72
Pinatubo,35,1,Hg0,92.35211181640625,74
Pinatubo,35,1,Hg0,92.00997161865234,76
Pinatubo,35,1,Hg0,91.66226959228516,78
Pinatubo,35,1,Hg0,91.30584716796875,80
Pinatubo,35,1,Hg0,90.95561218261719,82
Pinatubo,35,1,Hg0,90.59789276123047,84
Pinatubo,35,1,Hg0,90.23418426513672,86
Pinatubo,35,1,Hg0,89.86852264404297,88
Pinatubo,35,1,Hg0,89.50115203857422,90
Pinatubo,35,1,Hg0,89.13719940185547,92
Pinatubo,35,1,Hg0,88.78097534179688,94
Pinatubo,35,1,Hg0,88.42664337158203,96
Pinatubo,35,1,Hg0,88.06671142578125,98
Pinatubo,35,1,Hg0,87.7083511352539,100
Pinatubo,35,1,Hg0,87.34660339355469,102
Pinatubo,35,1,Hg0,86.974853515625,104
Pinatubo,35,1,Hg0,86.61249542236328,106
Pinatubo,35,1,Hg0,86.25350189208984,108
Pinatubo,35,1,Hg0,85.8894271850586,110
Pinatubo,35,1,Hg0,85.5086898803711,112
Pinatubo,35,1,Hg0,85.12967681884766,114
Pinatubo,35,1,Hg0,84.76219177246094,116
Pinatubo,35,1,Hg0,84.38404846191406,118
Pinatubo,35,1,Hg0,84.01272583007812,120
Pinatubo,35,1,Hg0,83.65259552001953,122
Pinatubo,35,1,Hg0,83.295654296875,124
Pinatubo,35,1,Hg0,82.93763732910156,126
Pinatubo,35,1,Hg0,82.57682037353516,128
Pinatubo,35,1,Hg0,82.21049499511719,130
Pinatubo,35,1,Hg0,81.83474731445312,132
Pinatubo,35,1,Hg0,81.47144317626953,134
Pinatubo,35,1,Hg0,81.11674499511719,136
Pinatubo,35,1,Hg0,80.76589965820312,138
Pinatubo,35,1,Hg0,80.4156494140625,140
Pinatubo,35,1,Hg0,80.04522705078125,142
Pinatubo,35,1,Hg0,79.68045806884766,144
Pinatubo,35,1,Hg0,79.31458282470703,146
Pinatubo,35,1,Hg0,78.948486328125,148
Pinatubo,35,1,Hg0,78.59101867675781,150
Pinatubo,35,1,Hg0,78.2287826538086,152
Pinatubo,35,1,Hg0,77.86587524414062,154
Pinatubo,35,1,Hg0,77.49603271484375,156
Pinatubo,35,1,Hg0,77.1254653930664,158
Pinatubo,35,1,Hg0,76.75061798095703,160
Pinatubo,35,1,Hg0,76.3768310546875,162
Pinatubo,35,1,Hg0,76.00035858154297,164
Pinatubo,35,1,Hg0,75.61434173583984,166
Pinatubo,35,1,Hg0,75.24372863769531,168
Pinatubo,35,1,Hg0,74.86420440673828,170
Pinatubo,35,1,Hg0,74.49354553222656,172
Pinatubo,35,1,Hg0,74.12677001953125,174
Pinatubo,35,1,Hg0,73.76235961914062,176
Pinatubo,35,1,Hg0,73.3968734741211,178
Pinatubo,45,1,Hg0,100.12567138671875,2
Pinatubo,45,1,Hg0,100.12567138671875,4
Pinatubo,45,1,Hg0,100.12567138671875,6
Pinatubo,45,1,Hg0,100.12567138671875,8
Pinatubo,45,1,Hg0,100.12567901611328,10
Pinatubo,45,1,Hg0,100.12568664550781,12
Pinatubo,45,1,Hg0,100.1257095336914,14
Pinatubo,45,1,Hg0,100.125732421875,16
Pinatubo,45,1,Hg0,100.12577819824219,18
Pinatubo,45,1,Hg0,100.12577056884766,20
Pinatubo,45,1,Hg0,100.12580871582031,22
Pinatubo,45,1,Hg0,100.12583923339844,24
Pinatubo,45,1,Hg0,100.1258773803711,26
Pinatubo,45,1,Hg0,100.12591552734375,28
Pinatubo,45,1,Hg0,100.12596130371094,30
Pinatubo,45,1,Hg0,100.12601470947266,32
Pinatubo,45,1,Hg0,100.12606811523438,34
